mmwr_week,week,week_start,week_end,season,pathogen,lab_tot_tested,lab_tot_positive,lab_pct_positive,lab_tot_tested_cumulative,lab_tot_positive_cumulative,lab_pct_positive_cumulative,current_week_ending,row_id
201952,52,12/22/2019,12/28/2019,2019-2020,RSV,525,70,0.1333333333,3873,318,0.08,12/28/2024,201952-RSV
201952,52,12/22/2019,12/28/2019,2019-2020,Rhinovirus/Enterovirus,411,35,0.0851581509,3504,562,0.16,12/28/2024,201952-Rhinovirus/Enterovirus
201952,52,12/22/2019,12/28/2019,2019-2020,SARS-CoV-2,0,0,,0,0,,12/28/2024,201952-SARS-CoV-2
201952,52,12/22/2019,12/28/2019,2019-2020,Seasonal Coronaviruses,245,4,0.0163265306,2466,34,0.01,12/28/2024,201952-Seasonal Coronaviruses
202001,1,12/29/2019,01/04/2020,2019-2020,Adenovirus,449,7,0.0155902004,3953,90,0.02,01/04/2025,202001-Adenovirus
202001,1,12/29/2019,01/04/2020,2019-2020,Human Metapneumovirus,461,10,0.021691974,4029,71,0.02,01/04/2025,202001-Human Metapneumovirus
202001,1,12/29/2019,01/04/2020,2019-2020,Influenza,1506,311,0.2065073041,13933,1008,0.07,01/04/2025,202001-Influenza
202001,1,12/29/2019,01/04/2020,2019-2020,Parainfluenza,461,3,0.0065075922,4029,126,0.03,01/04/2025,202001-Parainfluenza
202001,1,12/29/2019,01/04/2020,2019-2020,RSV,595,77,0.1294117647,4468,395,0.09,01/04/2025,202001-RSV
202001,1,12/29/2019,01/04/2020,2019-2020,Rhinovirus/Enterovirus,449,24,0.0534521158,3953,586,0.15,01/04/2025,202001-Rhinovirus/Enterovirus
202001,1,12/29/2019,01/04/2020,2019-2020,SARS-CoV-2,0,0,,0,0,,01/04/2025,202001-SARS-CoV-2
202001,1,12/29/2019,01/04/2020,2019-2020,Seasonal Coronaviruses,287,25,0.0871080139,2753,59,0.02,01/04/2025,202001-Seasonal Coronaviruses
202002,2,01/05/2020,01/11/2020,2019-2020,Adenovirus,483,10,0.0207039337,4436,100,0.02,01/11/2025,202002-Adenovirus
202002,2,01/05/2020,01/11/2020,2019-2020,Human Metapneumovirus,496,15,0.0302419355,4525,86,0.02,01/11/2025,202002-Human Metapneumovirus
202002,2,01/05/2020,01/11/2020,2019-2020,Influenza,1388,309,0.2226224784,15321,1317,0.09,01/11/2025,202002-Influenza
202002,2,01/05/2020,01/11/2020,2019-2020,Parainfluenza,496,6,0.0120967742,4525,132,0.03,01/11/2025,202002-Parainfluenza
202002,2,01/05/2020,01/11/2020,2019-2020,RSV,628,83,0.1321656051,5096,478,0.09,01/11/2025,202002-RSV
202002,2,01/05/2020,01/11/2020,2019-2020,Rhinovirus/Enterovirus,483,15,0.0310559006,4436,601,0.14,01/11/2025,202002-Rhinovirus/Enterovirus
202002,2,01/05/2020,01/11/2020,2019-2020,SARS-CoV-2,0,0,,0,0,,01/11/2025,202002-SARS-CoV-2
202002,2,01/05/2020,01/11/2020,2019-2020,Seasonal Coronaviruses,289,21,0.0726643599,3042,80,0.03,01/11/2025,202002-Seasonal Coronaviruses
202003,3,01/12/2020,01/18/2020,2019-2020,Adenovirus,505,18,0.0356435644,4941,118,0.02,01/18/2025,202003-Adenovirus
202003,3,01/12/2020,01/18/2020,2019-2020,Human Metapneumovirus,516,25,0.0484496124,5041,111,0.02,01/18/2025,202003-Human Metapneumovirus
202003,3,01/12/2020,01/18/2020,2019-2020,Influenza,1891,439,0.2321523004,17212,1756,0.10,01/18/2025,202003-Influenza
202003,3,01/12/2020,01/18/2020,2019-2020,Parainfluenza,516,6,0.011627907,5041,138,0.03,01/18/2025,202003-Parainfluenza
202003,3,01/12/2020,01/18/2020,2019-2020,RSV,633,65,0.102685624,5729,543,0.09,01/18/2025,202003-RSV
202003,3,01/12/2020,01/18/2020,2019-2020,Rhinovirus/Enterovirus,505,34,0.0673267327,4941,635,0.13,01/18/2025,202003-Rhinovirus/Enterovirus
202003,3,01/12/2020,01/18/2020,2019-2020,SARS-CoV-2,0,0,,0,0,,01/18/2025,202003-SARS-CoV-2
202003,3,01/12/2020,01/18/2020,2019-2020,Seasonal Coronaviruses,308,21,0.0681818182,3350,101,0.03,01/18/2025,202003-Seasonal Coronaviruses
202004,4,01/19/2020,01/25/2020,2019-2020,Adenovirus,568,6,0.0105633803,5509,124,0.02,01/25/2025,202004-Adenovirus
202004,4,01/19/2020,01/25/2020,2019-2020,Human Metapneumovirus,592,29,0.0489864865,5633,140,0.02,01/25/2025,202004-Human Metapneumovirus
202004,4,01/19/2020,01/25/2020,2019-2020,Influenza,2130,515,0.2417840376,19342,2271,0.12,01/25/2025,202004-Influenza
202004,4,01/19/2020,01/25/2020,2019-2020,Parainfluenza,592,2,0.0033783784,5633,140,0.02,01/25/2025,202004-Parainfluenza
202004,4,01/19/2020,01/25/2020,2019-2020,RSV,792,47,0.0593434343,6521,590,0.09,01/25/2025,202004-RSV
202004,4,01/19/2020,01/25/2020,2019-2020,Rhinovirus/Enterovirus,568,38,0.0669014085,5509,673,0.12,01/25/2025,202004-Rhinovirus/Enterovirus
202004,4,01/19/2020,01/25/2020,2019-2020,SARS-CoV-2,0,0,,0,0,,01/25/2025,202004-SARS-CoV-2
202004,4,01/19/2020,01/25/2020,2019-2020,Seasonal Coronaviruses,376,21,0.0558510638,3726,122,0.03,01/25/2025,202004-Seasonal Coronaviruses
202005,5,01/26/2020,02/01/2020,2019-2020,Adenovirus,396,9,0.0227272727,5905,133,0.02,02/01/2025,202005-Adenovirus
202005,5,01/26/2020,02/01/2020,2019-2020,Human Metapneumovirus,411,21,0.0510948905,6044,161,0.03,02/01/2025,202005-Human Metapneumovirus
202005,5,01/26/2020,02/01/2020,2019-2020,Influenza,2252,792,0.351687389,21594,3063,0.14,02/01/2025,202005-Influenza
202005,5,01/26/2020,02/01/2020,2019-2020,Parainfluenza,411,2,0.00486618,6044,142,0.02,02/01/2025,202005-Parainfluenza
202005,5,01/26/2020,02/01/2020,2019-2020,RSV,576,38,0.0659722222,7097,628,0.09,02/01/2025,202005-RSV
202005,5,01/26/2020,02/01/2020,2019-2020,Rhinovirus/Enterovirus,396,26,0.0656565657,5905,699,0.12,02/01/2025,202005-Rhinovirus/Enterovirus
202005,5,01/26/2020,02/01/2020,2019-2020,SARS-CoV-2,1,0,0,1,0,0.00,02/01/2025,202005-SARS-CoV-2
202005,5,01/26/2020,02/01/2020,2019-2020,Seasonal Coronaviruses,356,13,0.0365168539,4082,135,0.03,02/01/2025,202005-Seasonal Coronaviruses
202006,6,02/02/2020,02/08/2020,2019-2020,Adenovirus,381,4,0.0104986877,6286,137,0.02,02/08/2025,202006-Adenovirus
202006,6,02/02/2020,02/08/2020,2019-2020,Human Metapneumovirus,397,8,0.0201511335,6441,169,0.03,02/08/2025,202006-Human Metapneumovirus
202006,6,02/02/2020,02/08/2020,2019-2020,Influenza,2401,886,0.3690129113,23995,3949,0.16,02/08/2025,202006-Influenza
202006,6,02/02/2020,02/08/2020,2019-2020,Parainfluenza,397,3,0.0075566751,6441,145,0.02,02/08/2025,202006-Parainfluenza
202006,6,02/02/2020,02/08/2020,2019-2020,RSV,613,34,0.0554649266,7710,662,0.09,02/08/2025,202006-RSV
202006,6,02/02/2020,02/08/2020,2019-2020,Rhinovirus/Enterovirus,381,21,0.0551181102,6286,720,0.11,02/08/2025,202006-Rhinovirus/Enterovirus
202006,6,02/02/2020,02/08/2020,2019-2020,SARS-CoV-2,1,0,0,2,0,0.00,02/08/2025,202006-SARS-CoV-2
202006,6,02/02/2020,02/08/2020,2019-2020,Seasonal Coronaviruses,345,15,0.0434782609,4427,150,0.03,02/08/2025,202006-Seasonal Coronaviruses
202007,7,02/09/2020,02/15/2020,2019-2020,Adenovirus,392,12,0.0306122449,6678,149,0.02,02/15/2025,202007-Adenovirus
202007,7,02/09/2020,02/15/2020,2019-2020,Human Metapneumovirus,407,12,0.0294840295,6848,181,0.03,02/15/2025,202007-Human Metapneumovirus
202007,7,02/09/2020,02/15/2020,2019-2020,Influenza,2173,699,0.3216751035,26168,4648,0.18,02/15/2025,202007-Influenza
202007,7,02/09/2020,02/15/2020,2019-2020,Parainfluenza,407,2,0.0049140049,6848,147,0.02,02/15/2025,202007-Parainfluenza
202007,7,02/09/2020,02/15/2020,2019-2020,RSV,535,23,0.0429906542,8245,685,0.08,02/15/2025,202007-RSV
202007,7,02/09/2020,02/15/2020,2019-2020,Rhinovirus/Enterovirus,392,32,0.0816326531,6678,752,0.11,02/15/2025,202007-Rhinovirus/Enterovirus
202007,7,02/09/2020,02/15/2020,2019-2020,SARS-CoV-2,0,0,,2,0,0.00,02/15/2025,202007-SARS-CoV-2
202007,7,02/09/2020,02/15/2020,2019-2020,Seasonal Coronaviruses,349,20,0.0573065903,4776,170,0.04,02/15/2025,202007-Seasonal Coronaviruses
202008,8,02/16/2020,02/22/2020,2019-2020,Adenovirus,399,3,0.007518797,7077,152,0.02,02/22/2025,202008-Adenovirus
202008,8,02/16/2020,02/22/2020,2019-2020,Human Metapneumovirus,425,13,0.0305882353,7273,194,0.03,02/22/2025,202008-Human Metapneumovirus
202008,8,02/16/2020,02/22/2020,2019-2020,Influenza,2142,652,0.304388422,28310,5300,0.19,02/22/2025,202008-Influenza
202008,8,02/16/2020,02/22/2020,2019-2020,Parainfluenza,425,4,0.0094117647,7273,151,0.02,02/22/2025,202008-Parainfluenza
202008,8,02/16/2020,02/22/2020,2019-2020,RSV,590,23,0.0389830508,8835,708,0.08,02/22/2025,202008-RSV
202008,8,02/16/2020,02/22/2020,2019-2020,Rhinovirus/Enterovirus,399,32,0.0802005013,7077,784,0.11,02/22/2025,202008-Rhinovirus/Enterovirus
202008,8,02/16/2020,02/22/2020,2019-2020,SARS-CoV-2,0,0,,2,0,0.00,02/22/2025,202008-SARS-CoV-2
202008,8,02/16/2020,02/22/2020,2019-2020,Seasonal Coronaviruses,362,17,0.046961326,5138,187,0.04,02/22/2025,202008-Seasonal Coronaviruses
202009,9,02/23/2020,02/29/2020,2019-2020,Adenovirus,325,4,0.0123076923,7402,156,0.02,03/01/2025,202009-Adenovirus
202009,9,02/23/2020,02/29/2020,2019-2020,Human Metapneumovirus,347,7,0.0201729107,7620,201,0.03,03/01/2025,202009-Human Metapneumovirus
202009,9,02/23/2020,02/29/2020,2019-2020,Influenza,2037,616,0.3024054983,30347,5916,0.19,03/01/2025,202009-Influenza
202009,9,02/23/2020,02/29/2020,2019-2020,Parainfluenza,347,1,0.0028818444,7620,152,0.02,03/01/2025,202009-Parainfluenza
202009,9,02/23/2020,02/29/2020,2019-2020,RSV,578,15,0.0259515571,9413,723,0.08,03/01/2025,202009-RSV
202009,9,02/23/2020,02/29/2020,2019-2020,Rhinovirus/Enterovirus,325,31,0.0953846154,7402,815,0.11,03/01/2025,202009-Rhinovirus/Enterovirus
202009,9,02/23/2020,02/29/2020,2019-2020,SARS-CoV-2,1,1,1,3,1,0.33,03/01/2025,202009-SARS-CoV-2
202009,9,02/23/2020,02/29/2020,2019-2020,Seasonal Coronaviruses,299,12,0.0401337793,5437,199,0.04,03/01/2025,202009-Seasonal Coronaviruses
202010,10,03/01/2020,03/07/2020,2019-2020,Adenovirus,365,3,0.0082191781,7767,159,0.02,03/08/2025,202010-Adenovirus
202010,10,03/01/2020,03/07/2020,2019-2020,Human Metapneumovirus,397,13,0.0327455919,8017,214,0.03,03/08/2025,202010-Human Metapneumovirus
202010,10,03/01/2020,03/07/2020,2019-2020,Influenza,2171,533,0.245508982,32518,6449,0.20,03/08/2025,202010-Influenza
202010,10,03/01/2020,03/07/2020,2019-2020,Parainfluenza,397,3,0.0075566751,8017,155,0.02,03/08/2025,202010-Parainfluenza
202010,10,03/01/2020,03/07/2020,2019-2020,RSV,625,23,0.0368,10038,746,0.07,03/08/2025,202010-RSV
202010,10,03/01/2020,03/07/2020,2019-2020,Rhinovirus/Enterovirus,365,40,0.1095890411,7767,855,0.11,03/08/2025,202010-Rhinovirus/Enterovirus
202010,10,03/01/2020,03/07/2020,2019-2020,SARS-CoV-2,18,5,0.2777777778,21,6,0.29,03/08/2025,202010-SARS-CoV-2
202010,10,03/01/2020,03/07/2020,2019-2020,Seasonal Coronaviruses,345,7,0.0202898551,5782,206,0.04,03/08/2025,202010-Seasonal Coronaviruses
202011,11,03/08/2020,03/14/2020,2019-2020,Adenovirus,484,2,0.0041322314,8251,161,0.02,03/15/2025,202011-Adenovirus
202011,11,03/08/2020,03/14/2020,2019-2020,Human Metapneumovirus,531,21,0.0395480226,8548,235,0.03,03/15/2025,202011-Human Metapneumovirus
202011,11,03/08/2020,03/14/2020,2019-2020,Influenza,2718,423,0.1556291391,35236,6872,0.20,03/15/2025,202011-Influenza
202011,11,03/08/2020,03/14/2020,2019-2020,Parainfluenza,531,4,0.0075329567,8548,159,0.02,03/15/2025,202011-Parainfluenza
202011,11,03/08/2020,03/14/2020,2019-2020,RSV,845,27,0.0319526627,10883,773,0.07,03/15/2025,202011-RSV
202011,11,03/08/2020,03/14/2020,2019-2020,Rhinovirus/Enterovirus,484,65,0.1342975207,8251,920,0.11,03/15/2025,202011-Rhinovirus/Enterovirus
202011,11,03/08/2020,03/14/2020,2019-2020,SARS-CoV-2,329,30,0.0911854103,350,36,0.10,03/15/2025,202011-SARS-CoV-2
202011,11,03/08/2020,03/14/2020,2019-2020,Seasonal Coronaviruses,457,23,0.0503282276,6239,229,0.04,03/15/2025,202011-Seasonal Coronaviruses
202012,12,03/15/2020,03/21/2020,2019-2020,Adenovirus,590,3,0.0050847458,8841,164,0.02,03/22/2025,202012-Adenovirus
202012,12,03/15/2020,03/21/2020,2019-2020,Human Metapneumovirus,636,21,0.0330188679,9184,256,0.03,03/22/2025,202012-Human Metapneumovirus
202012,12,03/15/2020,03/21/2020,2019-2020,Influenza,2243,110,0.0490414623,37479,6982,0.19,03/22/2025,202012-Influenza
202012,12,03/15/2020,03/21/2020,2019-2020,Parainfluenza,636,1,0.001572327,9184,160,0.02,03/22/2025,202012-Parainfluenza
202012,12,03/15/2020,03/21/2020,2019-2020,RSV,1107,19,0.017163505,11990,792,0.07,03/22/2025,202012-RSV
202012,12,03/15/2020,03/21/2020,2019-2020,Rhinovirus/Enterovirus,590,56,0.0949152542,8841,976,0.11,03/22/2025,202012-Rhinovirus/Enterovirus
202012,12,03/15/2020,03/21/2020,2019-2020,SARS-CoV-2,1167,139,0.119108826,1517,175,0.12,03/22/2025,202012-SARS-CoV-2
202012,12,03/15/2020,03/21/2020,2019-2020,Seasonal Coronaviruses,546,25,0.0457875458,6785,254,0.04,03/22/2025,202012-Seasonal Coronaviruses
202013,13,03/22/2020,03/28/2020,2019-2020,Adenovirus,475,3,0.0063157895,9316,167,0.02,03/29/2025,202013-Adenovirus
202013,13,03/22/2020,03/28/2020,2019-2020,Human Metapneumovirus,501,7,0.0139720559,9685,263,0.03,03/29/2025,202013-Human Metapneumovirus
202013,13,03/22/2020,03/28/2020,2019-2020,Influenza,1785,14,0.0078431373,39264,6996,0.18,03/29/2025,202013-Influenza
202013,13,03/22/2020,03/28/2020,2019-2020,Parainfluenza,501,0,0,9685,160,0.02,03/29/2025,202013-Parainfluenza
202013,13,03/22/2020,03/28/2020,2019-2020,RSV,635,10,0.0157480315,12625,802,0.06,03/29/2025,202013-RSV
202013,13,03/22/2020,03/28/2020,2019-2020,Rhinovirus/Enterovirus,475,18,0.0378947368,9316,994,0.11,03/29/2025,202013-Rhinovirus/Enterovirus
202013,13,03/22/2020,03/28/2020,2019-2020,SARS-CoV-2,1665,433,0.2600600601,3182,608,0.19,03/29/2025,202013-SARS-CoV-2
202013,13,03/22/2020,03/28/2020,2019-2020,Seasonal Coronaviruses,458,14,0.0305676856,7243,268,0.04,03/29/2025,202013-Seasonal Coronaviruses
202014,14,03/29/2020,04/04/2020,2019-2020,Adenovirus,158,2,0.0126582278,9474,169,0.02,04/05/2025,202014-Adenovirus
202014,14,03/29/2020,04/04/2020,2019-2020,Human Metapneumovirus,195,4,0.0205128205,9880,267,0.03,04/05/2025,202014-Human Metapneumovirus
202014,14,03/29/2020,04/04/2020,2019-2020,Influenza,1559,10,0.0064143682,40823,7006,0.17,04/05/2025,202014-Influenza
202014,14,03/29/2020,04/04/2020,2019-2020,Parainfluenza,195,0,0,9880,160,0.02,04/05/2025,202014-Parainfluenza
202014,14,03/29/2020,04/04/2020,2019-2020,RSV,396,1,0.0025252525,13021,803,0.06,04/05/2025,202014-RSV
202014,14,03/29/2020,04/04/2020,2019-2020,Rhinovirus/Enterovirus,158,6,0.0379746835,9474,1000,0.11,04/05/2025,202014-Rhinovirus/Enterovirus
202014,14,03/29/2020,04/04/2020,2019-2020,SARS-CoV-2,1894,585,0.3088701162,5076,1193,0.24,04/05/2025,202014-SARS-CoV-2
202014,14,03/29/2020,04/04/2020,2019-2020,Seasonal Coronaviruses,141,2,0.0141843972,7384,270,0.04,04/05/2025,202014-Seasonal Coronaviruses
202015,15,04/05/2020,04/11/2020,2019-2020,Adenovirus,119,0,0,9593,169,0.02,04/12/2025,202015-Adenovirus
202015,15,04/05/2020,04/11/2020,2019-2020,Human Metapneumovirus,146,2,0.0136986301,10026,269,0.03,04/12/2025,202015-Human Metapneumovirus
202015,15,04/05/2020,04/11/2020,2019-2020,Influenza,1036,2,0.0019305019,41859,7008,0.17,04/12/2025,202015-Influenza
202015,15,04/05/2020,04/11/2020,2019-2020,Parainfluenza,146,0,0,10026,160,0.02,04/12/2025,202015-Parainfluenza
202015,15,04/05/2020,04/11/2020,2019-2020,RSV,201,0,0,13222,803,0.06,04/12/2025,202015-RSV
202015,15,04/05/2020,04/11/2020,2019-2020,Rhinovirus/Enterovirus,119,2,0.0168067227,9593,1002,0.10,04/12/2025,202015-Rhinovirus/Enterovirus
202015,15,04/05/2020,04/11/2020,2019-2020,SARS-CoV-2,2917,909,0.311621529,7993,2102,0.26,04/12/2025,202015-SARS-CoV-2
202015,15,04/05/2020,04/11/2020,2019-2020,Seasonal Coronaviruses,119,0,0,7503,270,0.04,04/12/2025,202015-Seasonal Coronaviruses
202016,16,04/12/2020,04/18/2020,2019-2020,Adenovirus,104,0,0,9697,169,0.02,04/19/2025,202016-Adenovirus
202016,16,04/12/2020,04/18/2020,2019-2020,Human Metapneumovirus,157,0,0,10183,269,0.03,04/19/2025,202016-Human Metapneumovirus
202016,16,04/12/2020,04/18/2020,2019-2020,Influenza,889,1,0.0011248594,42748,7009,0.16,04/19/2025,202016-Influenza
202016,16,04/12/2020,04/18/2020,2019-2020,Parainfluenza,157,0,0,10183,160,0.02,04/19/2025,202016-Parainfluenza
202016,16,04/12/2020,04/18/2020,2019-2020,RSV,157,2,0.0127388535,13379,805,0.06,04/19/2025,202016-RSV
202016,16,04/12/2020,04/18/2020,2019-2020,Rhinovirus/Enterovirus,104,5,0.0480769231,9697,1007,0.10,04/19/2025,202016-Rhinovirus/Enterovirus
202016,16,04/12/2020,04/18/2020,2019-2020,SARS-CoV-2,3002,948,0.3157894737,10995,3050,0.28,04/19/2025,202016-SARS-CoV-2
202016,16,04/12/2020,04/18/2020,2019-2020,Seasonal Coronaviruses,103,1,0.0097087379,7606,271,0.04,04/19/2025,202016-Seasonal Coronaviruses
202017,17,04/19/2020,04/25/2020,2019-2020,Adenovirus,77,1,0.012987013,9774,170,0.02,04/26/2025,202017-Adenovirus
202017,17,04/19/2020,04/25/2020,2019-2020,Human Metapneumovirus,111,0,0,10294,269,0.03,04/26/2025,202017-Human Metapneumovirus
202017,17,04/19/2020,04/25/2020,2019-2020,Influenza,802,2,0.0024937656,43550,7011,0.16,04/26/2025,202017-Influenza
202017,17,04/19/2020,04/25/2020,2019-2020,Parainfluenza,111,0,0,10294,160,0.02,04/26/2025,202017-Parainfluenza
202017,17,04/19/2020,04/25/2020,2019-2020,RSV,111,0,0,13490,805,0.06,04/26/2025,202017-RSV
202017,17,04/19/2020,04/25/2020,2019-2020,Rhinovirus/Enterovirus,77,4,0.0519480519,9774,1011,0.10,04/26/2025,202017-Rhinovirus/Enterovirus
202017,17,04/19/2020,04/25/2020,2019-2020,SARS-CoV-2,4710,1665,0.3535031847,15705,4715,0.30,04/26/2025,202017-SARS-CoV-2
202017,17,04/19/2020,04/25/2020,2019-2020,Seasonal Coronaviruses,77,0,0,7683,271,0.04,04/26/2025,202017-Seasonal Coronaviruses
202018,18,04/26/2020,05/02/2020,2019-2020,Adenovirus,111,1,0.009009009,9885,171,0.02,05/03/2025,202018-Adenovirus
202018,18,04/26/2020,05/02/2020,2019-2020,Human Metapneumovirus,138,0,0,10432,269,0.03,05/03/2025,202018-Human Metapneumovirus
202018,18,04/26/2020,05/02/2020,2019-2020,Influenza,762,1,0.001312336,44312,7012,0.16,05/03/2025,202018-Influenza
202018,18,04/26/2020,05/02/2020,2019-2020,Parainfluenza,138,0,0,10432,160,0.02,05/03/2025,202018-Parainfluenza
202018,18,04/26/2020,05/02/2020,2019-2020,RSV,138,0,0,13628,805,0.06,05/03/2025,202018-RSV
202018,18,04/26/2020,05/02/2020,2019-2020,Rhinovirus/Enterovirus,111,4,0.036036036,9885,1015,0.10,05/03/2025,202018-Rhinovirus/Enterovirus
202018,18,04/26/2020,05/02/2020,2019-2020,SARS-CoV-2,4337,1684,0.3882868342,20042,6399,0.32,05/03/2025,202018-SARS-CoV-2
202018,18,04/26/2020,05/02/2020,2019-2020,Seasonal Coronaviruses,109,2,0.0183486239,7792,273,0.04,05/03/2025,202018-Seasonal Coronaviruses
202019,19,05/03/2020,05/09/2020,2019-2020,Adenovirus,67,0,0,9952,171,0.02,05/10/2025,202019-Adenovirus
202019,19,05/03/2020,05/09/2020,2019-2020,Human Metapneumovirus,89,0,0,10521,269,0.03,05/10/2025,202019-Human Metapneumovirus
202019,19,05/03/2020,05/09/2020,2019-2020,Influenza,620,0,0,44932,7012,0.16,05/10/2025,202019-Influenza
202019,19,05/03/2020,05/09/2020,2019-2020,Parainfluenza,89,1,0.0112359551,10521,161,0.02,05/10/2025,202019-Parainfluenza
202019,19,05/03/2020,05/09/2020,2019-2020,RSV,91,0,0,13719,805,0.06,05/10/2025,202019-RSV
202019,19,05/03/2020,05/09/2020,2019-2020,Rhinovirus/Enterovirus,67,1,0.0149253731,9952,1016,0.10,05/10/2025,202019-Rhinovirus/Enterovirus
202019,19,05/03/2020,05/09/2020,2019-2020,SARS-CoV-2,5004,1423,0.284372502,25046,7822,0.31,05/10/2025,202019-SARS-CoV-2
202019,19,05/03/2020,05/09/2020,2019-2020,Seasonal Coronaviruses,66,2,0.0303030303,7858,275,0.03,05/10/2025,202019-Seasonal Coronaviruses
202020,20,05/10/2020,05/16/2020,2019-2020,Adenovirus,77,0,0,10029,171,0.02,05/17/2025,202020-Adenovirus
202020,20,05/10/2020,05/16/2020,2019-2020,Human Metapneumovirus,105,0,0,10626,269,0.03,05/17/2025,202020-Human Metapneumovirus
202020,20,05/10/2020,05/16/2020,2019-2020,Influenza,430,2,0.0046511628,45362,7014,0.15,05/17/2025,202020-Influenza
202020,20,05/10/2020,05/16/2020,2019-2020,Parainfluenza,105,0,0,10626,161,0.02,05/17/2025,202020-Parainfluenza
202020,20,05/10/2020,05/16/2020,2019-2020,RSV,106,0,0,13825,805,0.06,05/17/2025,202020-RSV
202020,20,05/10/2020,05/16/2020,2019-2020,Rhinovirus/Enterovirus,77,0,0,10029,1016,0.10,05/17/2025,202020-Rhinovirus/Enterovirus
202020,20,05/10/2020,05/16/2020,2019-2020,SARS-CoV-2,5641,1303,0.2309874136,30687,9125,0.30,05/17/2025,202020-SARS-CoV-2
202020,20,05/10/2020,05/16/2020,2019-2020,Seasonal Coronaviruses,76,0,0,7934,275,0.03,05/17/2025,202020-Seasonal Coronaviruses
202021,21,05/17/2020,05/23/2020,2019-2020,Adenovirus,60,0,0,10089,171,0.02,05/24/2025,202021-Adenovirus
202021,21,05/17/2020,05/23/2020,2019-2020,Human Metapneumovirus,91,0,0,10717,269,0.03,05/24/2025,202021-Human Metapneumovirus
202021,21,05/17/2020,05/23/2020,2019-2020,Influenza,396,0,0,45758,7014,0.15,05/24/2025,202021-Influenza
202021,21,05/17/2020,05/23/2020,2019-2020,Parainfluenza,91,0,0,10717,161,0.02,05/24/2025,202021-Parainfluenza
202021,21,05/17/2020,05/23/2020,2019-2020,RSV,91,0,0,13916,805,0.06,05/24/2025,202021-RSV
202021,21,05/17/2020,05/23/2020,2019-2020,Rhinovirus/Enterovirus,60,0,0,10089,1016,0.10,05/24/2025,202021-Rhinovirus/Enterovirus
202021,21,05/17/2020,05/23/2020,2019-2020,SARS-CoV-2,5010,1016,0.2027944112,35697,10141,0.28,05/24/2025,202021-SARS-CoV-2
202021,21,05/17/2020,05/23/2020,2019-2020,Seasonal Coronaviruses,60,0,0,7994,275,0.03,05/24/2025,202021-Seasonal Coronaviruses
202022,22,05/24/2020,05/30/2020,2019-2020,Adenovirus,41,1,0.0243902439,10130,172,0.02,05/31/2025,202022-Adenovirus
202022,22,05/24/2020,05/30/2020,2019-2020,Human Metapneumovirus,55,0,0,10772,269,0.02,05/31/2025,202022-Human Metapneumovirus
202022,22,05/24/2020,05/30/2020,2019-2020,Influenza,282,0,0,46040,7014,0.15,05/31/2025,202022-Influenza
202022,22,05/24/2020,05/30/2020,2019-2020,Parainfluenza,55,0,0,10772,161,0.01,05/31/2025,202022-Parainfluenza
202022,22,05/24/2020,05/30/2020,2019-2020,RSV,56,0,0,13972,805,0.06,05/31/2025,202022-RSV
202022,22,05/24/2020,05/30/2020,2019-2020,Rhinovirus/Enterovirus,41,1,0.0243902439,10130,1017,0.10,05/31/2025,202022-Rhinovirus/Enterovirus
202022,22,05/24/2020,05/30/2020,2019-2020,SARS-CoV-2,4018,535,0.1331508213,39715,10676,0.27,05/31/2025,202022-SARS-CoV-2
202022,22,05/24/2020,05/30/2020,2019-2020,Seasonal Coronaviruses,41,0,0,8035,275,0.03,05/31/2025,202022-Seasonal Coronaviruses
202023,23,05/31/2020,06/06/2020,2019-2020,Adenovirus,46,2,0.0434782609,10176,174,0.02,06/07/2025,202023-Adenovirus
202023,23,05/31/2020,06/06/2020,2019-2020,Human Metapneumovirus,48,0,0,10820,269,0.02,06/07/2025,202023-Human Metapneumovirus
202023,23,05/31/2020,06/06/2020,2019-2020,Influenza,233,0,0,46273,7014,0.15,06/07/2025,202023-Influenza
202023,23,05/31/2020,06/06/2020,2019-2020,Parainfluenza,48,0,0,10820,161,0.01,06/07/2025,202023-Parainfluenza
202023,23,05/31/2020,06/06/2020,2019-2020,RSV,48,0,0,14020,805,0.06,06/07/2025,202023-RSV
202023,23,05/31/2020,06/06/2020,2019-2020,Rhinovirus/Enterovirus,46,2,0.0434782609,10176,1019,0.10,06/07/2025,202023-Rhinovirus/Enterovirus
202023,23,05/31/2020,06/06/2020,2019-2020,SARS-CoV-2,3278,291,0.0887736425,42993,10967,0.26,06/07/2025,202023-SARS-CoV-2
202023,23,05/31/2020,06/06/2020,2019-2020,Seasonal Coronaviruses,46,0,0,8081,275,0.03,06/07/2025,202023-Seasonal Coronaviruses
202024,24,06/07/2020,06/13/2020,2019-2020,Adenovirus,39,0,0,10215,174,0.02,06/14/2025,202024-Adenovirus
202024,24,06/07/2020,06/13/2020,2019-2020,Human Metapneumovirus,41,0,0,10861,269,0.02,06/14/2025,202024-Human Metapneumovirus
202024,24,06/07/2020,06/13/2020,2019-2020,Influenza,229,1,0.0043668122,46502,7015,0.15,06/14/2025,202024-Influenza
202024,24,06/07/2020,06/13/2020,2019-2020,Parainfluenza,41,0,0,10861,161,0.01,06/14/2025,202024-Parainfluenza
202024,24,06/07/2020,06/13/2020,2019-2020,RSV,41,0,0,14061,805,0.06,06/14/2025,202024-RSV
